bird_name,date,speed_2d
Eric,2013-11-10,4.525695566189749
Eric,2013-11-11,1.7928151669979748
Eric,2013-11-12,3.113689064429633
Eric,2013-11-13,2.157858769474231
Eric,2013-11-14,2.0845304995205933
Eric,2013-11-15,8.937917596042336
Eric,2013-11-16,8.886389670011162
Eric,2013-11-17,5.912662808768449
Eric,2013-11-18,4.158698061615827
Eric,2013-11-19,2.9275965986044454
Eric,2013-11-20,2.041635216185689
Eric,2013-11-21,1.8511201918130518
Eric,2013-11-22,2.241157582948383
Eric,2013-11-23,2.6784577851961093
Eric,2013-11-24,2.9994752018859114
Eric,2013-11-25,3.3037620910188847
Eric,2013-11-26,1.9086026946201686
Eric,2013-11-27,1.7626028249616363
Eric,2013-11-28,1.3547672772186234
Eric,2013-11-29,1.9446095109202866
Eric,2013-11-30,1.8763526138814277
Eric,2013-12-01,2.361909024531376
Eric,2013-12-02,1.9394203063299276
Eric,2013-12-03,1.7013809343583928
Eric,2013-12-04,2.1829646795715605
Eric,2013-12-05,1.8906286860478663
Eric,2013-12-06,3.5070640788373586
Eric,2013-12-07,2.048642287350029
Eric,2013-12-08,2.0150546264584235
Eric,2013-12-09,2.2598714206890063
Eric,2013-12-10,2.099788255637224
Eric,2013-12-11,1.8297865599998917
Eric,2013-12-12,2.3712216023903645
Eric,2013-12-13,1.6826627284059437
Eric,2013-12-14,2.3532662685446484
Eric,2013-12-15,2.205861307293266
Eric,2013-12-16,1.799037487860387
Eric,2013-12-17,2.463049508128903
Eric,2013-12-18,2.0765343041363953
Eric,2013-12-19,2.160575140723997
Eric,2013-12-20,1.800287005329597
Eric,2013-12-21,1.8630082805802037
Eric,2013-12-22,1.9858850855779189
Eric,2013-12-23,1.964258349863023
Eric,2013-12-24,1.6656733839129405
Eric,2013-12-25,2.260985512915512
Eric,2013-12-26,1.7805584382041408
Eric,2013-12-27,2.2812045811412616
Eric,2013-12-28,1.9931902366559182
Eric,2013-12-29,1.46327282925774
Eric,2013-12-30,2.425054518824728
Eric,2013-12-31,2.4146952546309937
Eric,2014-01-01,1.9481964880784999
Eric,2014-01-02,2.1420491591331423
Eric,2014-01-03,1.44191132830159
Eric,2014-01-04,2.164764456159401
Eric,2014-01-05,2.485292116421065
Eric,2014-01-06,2.155100817752843
Eric,2014-01-07,2.4493137697603364
Eric,2014-01-08,1.9005526232857046
Eric,2014-01-09,1.856281817199924
Eric,2014-01-10,2.136477939437246
